benchmark_sequence,original_sequence,filename,scenario,category,sha256,valid_andes_count,false_label_count,labels_json,size_bytes,width,height
99,220,220_multi_true.jpg,multi_true_2,multi_true,ccb31a07b9916211c47080f5e70f9a7a17f01eff07958ffe675b9d5947e4586a,2,0,"[{kind: position, valid_andes: true, payload: ASP-A03-B05-P03-R, display: ASP-A03-B05-P03-R}, {kind: item, valid_andes: true, payload: ASI-3ZF3AS|60, display: ASI-3ZF3AS, qty: 60}]",82745,1200,1000
100,27,027_position.jpg,position_single_valid,position,2fea5895ebcb0f04ea59b5920b26a8515051f69d26e90637c0f3eddfb35102fb,1,0,"[{kind: position, valid_andes: true, payload: ASP-A01-B05-P02-L, display: ASP-A01-B05-P02-L}]",61584,1200,1000
101,124,124_item.jpg,item_single_valid,item,da38e61734e7fed77f3b04baa84ca0dc83760de7baa0282784ee34bfb69a9ad6,1,0,"[{kind: item, valid_andes: true, payload: ASI-AXJSL6|60, display: ASI-AXJSL6, qty: 60}]",57777,1200,1000
102,251,251_multi_mixed.jpg,multi_mixed_2,multi_mixed,ec5ef13b7d45d9bd9db355d7bc402bb142fad20e16e11cc29417c57ed3413ee9,1,1,"[{kind: item, valid_andes: true, payload: ASI-YAMK3E|5, display: ASI-YAMK3E, qty: 5}, {kind: false, valid_andes: false, payload: POSX0011, display: POSX-0011}]",82708,1200,1000
103,125,125_item.jpg,item_single_valid,item,d9a780dd4f0ef14ad5832e3c53c7314b25e6459774443e05572ed0119a352fb6,1,0,"[{kind: item, valid_andes: true, payload: ASI-5AHEKC|20, display: ASI-5AHEKC, qty: 20}]",57784,1200,1000
104,28,028_position.jpg,position_single_valid,position,077fc2a594af01d1ec7a69653df520f8eecaf5a8af8aca7e120f8c945a601ae0,1,0,"[{kind: position, valid_andes: true, payload: ASP-A01-B05-P02-R, display: ASP-A01-B05-P02-R}]",61973,1200,1000
105,126,126_item.jpg,item_single_valid,item,fc3911bbbd9d0ea30b9a1fc5dc63843faec247c77ae16c54b8e1dfb0bc415aa8,1,0,"[{kind: item, valid_andes: true, payload: ASI-K5JCVZ|2, display: ASI-K5JCVZ, qty: 2}]",57601,1200,1000
106,281,281_multi_false.jpg,multi_false_2,multi_false,2e42de2dc99ee81a94ac0df196a5394cf06af013da3a63d5c2c21a10ceaf630e,0,2,"[{kind: false, valid_andes: false, payload: POSX0051, display: POSX-0051}, {kind: false, valid_andes: false, payload: FAKE0052, display: FAKE-0052}]",82407,1200,1000
107,29,029_position.jpg,position_single_valid,position,b15ee3398325801353b6d5b9cd683ad966e7863cf6d6a28919f4d003f9fdcda7,1,0,"[{kind: position, valid_andes: true, payload: ASP-A01-B05-P03-L, display: ASP-A01-B05-P03-L}]",61733,1200,1000
108,127,127_item.jpg,item_single_valid,item,b2f69cd2f3f2083f44391f84507f4b975af20f1a709277eb8196c78864a18519,1,0,"[{kind: item, valid_andes: true, payload: ASI-YPRGY4|96, display: ASI-YPRGY4, qty: 96}]",57132,1200,1000
109,221,221_multi_true.jpg,multi_true_2,multi_true,b23dc883e5e85c883d3fae98d9e0cf314032ec801e90a810d05ce0185eb7fbed,2,0,"[{kind: position, valid_andes: true, payload: ASP-A04-B01-P01-L, display: ASP-A04-B01-P01-L}, {kind: item, valid_andes: true, payload: ASI-H7ZS2Z|4, display: ASI-H7ZS2Z, qty: 4}]",82390,1200,1000
110,128,128_item.jpg,item_single_valid,item,642fd507d7d385e2e0fd1dc330a0efb721c43f3a6b32703c0a9a0f7243df608e,1,0,"[{kind: item, valid_andes: true, payload: ASI-KRLM4B|6, display: ASI-KRLM4B, qty: 6}]",56542,1200,1000
111,30,030_position.jpg,position_single_valid,position,482e9e4b6fd6456dce23808a55ab8fd843155f702251dceb5b288af4179cd6e1,1,0,"[{kind: position, valid_andes: true, payload: ASP-A01-B05-P03-R, display: ASP-A01-B05-P03-R}]",61930,1200,1000
112,129,129_item.jpg,item_single_valid,item,6e71cf1e9d64653b6e548d76a74bb91e3782c51d6ddc0168a624317ec7203024,1,0,"[{kind: item, valid_andes: true, payload: ASI-X4RTLG|24, display: ASI-X4RTLG, qty: 24}]",57709,1200,1000
113,252,252_multi_mixed.jpg,multi_mixed_2,multi_mixed,ecae19a0f9f5a362edfd5b0b5c83d6f684a901266b59d258f2ac8d31ef501415,1,1,"[{kind: position, valid_andes: true, payload: ASP-A05-B02-P03-L, display: ASP-A05-B02-P03-L}, {kind: false, valid_andes: false, payload: FAKE0012, display: FAKE-0012}]",84688,1200,1000
114,31,031_position.jpg,position_single_valid,position,cebf82d0e9038645ac132738f96f7a609d32993fc823cd9fb5f13c72c3858c78,1,0,"[{kind: position, valid_andes: true, payload: ASP-A02-B01-P01-L, display: ASP-A02-B01-P01-L}]",61633,1200,1000
115,130,130_item.jpg,item_single_valid,item,f766b85a16fa3038e9007c4ab565a3540dcb13b4c10ced714e8d003c0a401396,1,0,"[{kind: item, valid_andes: true, payload: ASI-C8QN7Y|15, display: ASI-C8QN7Y, qty: 15}]",57486,1200,1000
116,282,282_multi_false.jpg,multi_false_2,multi_false,a894f3bcb8f35c0c205010b055cc5d3453d19c1e8608950e1784858ca73c0e88,0,2,"[{kind: false, valid_andes: false, payload: X0053, display: X-0053}, {kind: false, valid_andes: false, payload: BAD0054, display: BAD-0054}]",77541,1200,1000
117,131,131_item.jpg,item_single_valid,item,56bdd39c923768d8c2862d2a2f5d7d740825391c52e6e08e5b7264b1cca74aa9,1,0,"[{kind: item, valid_andes: true, payload: ASI-QQBN3X|12, display: ASI-QQBN3X, qty: 12}]",57137,1200,1000
118,32,032_position.jpg,position_single_valid,position,fc4eb4bacca265818d5404bbcde06a839f743fa8afd7b7e658f87f31e7cc58e5,1,0,"[{kind: position, valid_andes: true, payload: ASP-A02-B01-P01-R, display: ASP-A02-B01-P01-R}]",62765,1200,1000
119,132,132_item.jpg,item_single_valid,item,17112d8b7c721a2d30ec2c02af819e987c9c22b68e5d90b079ce50f391dbd4d4,1,0,"[{kind: item, valid_andes: true, payload: ASI-ETY3XB|4, display: ASI-ETY3XB, qty: 4}]",58143,1200,1000
120,222,222_multi_true.jpg,multi_true_2,multi_true,3d0e2a50984aba3436865cab9a2a863c642ffdaadd36a31211cca8482f2f1760,2,0,"[{kind: position, valid_andes: true, payload: ASP-A04-B01-P01-R, display: ASP-A04-B01-P01-R}, {kind: item, valid_andes: true, payload: ASI-Q8BWQE|36, display: ASI-Q8BWQE, qty: 36}]",84227,1200,1000
121,133,133_item.jpg,item_single_valid,item,b1966532681489e665d13918920a3b2c0c9e9395d48297329f52c911aa113ce5,1,0,"[{kind: item, valid_andes: true, payload: ASI-SMSCG5|20, display: ASI-SMSCG5, qty: 20}]",58198,1200,1000
122,253,253_multi_mixed.jpg,multi_mixed_2,multi_mixed,f9f6e368fb5b8446c689313dd7f00d1b1a6b51cd723367088386d9f8d5ddbb1b,1,1,"[{kind: item, valid_andes: true, payload: ASI-BFP247|18, display: ASI-BFP247, qty: 18}, {kind: false, valid_andes: false, payload: X0013, display: X-0013}]",77926,1200,1000
123,33,033_position.jpg,position_single_valid,position,d077bc118feb9c247ba6e097c2b31b3101592b2cac5783982105f8f66655543b,1,0,"[{kind: position, valid_andes: true, payload: ASP-A02-B01-P02-L, display: ASP-A02-B01-P02-L}]",63473,1200,1000
124,134,134_item.jpg,item_single_valid,item,7739c6d27634bd67828914f7cd57ffc24adc4f230f2698e4208291c7c660f10f,1,0,"[{kind: item, valid_andes: true, payload: ASI-W5H2NS|2, display: ASI-W5H2NS, qty: 2}]",58192,1200,1000
125,283,283_multi_false.jpg,multi_false_2,multi_false,2f9c23a5dee87e51f9b2fe5a6c9f74709cbcbc07c190b782f5298e7264896ade,0,2,"[{kind: false, valid_andes: false, payload: POSX0055, display: POSX-0055}, {kind: false, valid_andes: false, payload: FAKE0056, display: FAKE-0056}]",82417,1200,1000
126,34,034_position.jpg,position_single_valid,position,1e71ea2f9088b2d1778a30ad7e98f5721fac8ad25a47107c854e400e7e8a3414,1,0,"[{kind: position, valid_andes: true, payload: ASP-A02-B01-P02-R, display: ASP-A02-B01-P02-R}]",61256,1200,1000
127,135,135_item.jpg,item_single_valid,item,245c5d29e7c7d3f1aef3068436edd82de79dc90e5da8691fc7cd71329307746d,1,0,"[{kind: item, valid_andes: true, payload: ASI-5ANZ5E|18, display: ASI-5ANZ5E, qty: 18}]",57373,1200,1000
128,136,136_item.jpg,item_single_valid,item,6214db13a3b5b300492a1f5ef1da33aceaba0fc0cdfaf6d9d7ba071db3bc0164,1,0,"[{kind: item, valid_andes: true, payload: ASI-WHVV4W|24, display: ASI-WHVV4W, qty: 24}]",57598,1200,1000
129,223,223_multi_true.jpg,multi_true_2,multi_true,5fbdfe038f9fe6c66c21ea24b450ba4ca41ab31df7fde79b8fc4a975922806ea,2,0,"[{kind: position, valid_andes: true, payload: ASP-A04-B01-P02-L, display: ASP-A04-B01-P02-L}, {kind: item, valid_andes: true, payload: ASI-V4HJCC|15, display: ASI-V4HJCC, qty: 15}]",83425,1200,1000
130,35,035_position.jpg,position_single_valid,position,c3bd7d369aabcd7b0e1eb29f148e73d7570d7e9c14b493522acd514d92996fda,1,0,"[{kind: position, valid_andes: true, payload: ASP-A02-B01-P03-L, display: ASP-A02-B01-P03-L}]",60123,1200,1000
131,137,137_item.jpg,item_single_valid,item,b904042796ae7d4ea5cdc95aa6d4193cad5c1f99e2180125ae3ae50494470c16,1,0,"[{kind: item, valid_andes: true, payload: ASI-UJN42M|96, display: ASI-UJN42M, qty: 96}]",57577,1200,1000
132,254,254_multi_mixed.jpg,multi_mixed_2,multi_mixed,e1383cd62667287fc628f3f6976cbfce7f5f2f1098de03336c14e0b742dd63d4,1,1,"[{kind: position, valid_andes: true, payload: ASP-A05-B02-P03-R, display: ASP-A05-B02-P03-R}, {kind: false, valid_andes: false, payload: BAD0014, display: BAD-0014}]",82983,1200,1000
133,138,138_item.jpg,item_single_valid,item,fcb96a04c377ee77e5c3bfcff887460b1c83f3ee28789c4df8212fa74263529f,1,0,"[{kind: item, valid_andes: true, payload: ASI-V3AVUP|30, display: ASI-V3AVUP, qty: 30}]",58037,1200,1000
134,36,036_position.jpg,position_single_valid,position,66995b4dea519070a5dd286dbff97d27315308121c8dd8c5abb89c9caa44b84f,1,0,"[{kind: position, valid_andes: true, payload: ASP-A02-B01-P03-R, display: ASP-A02-B01-P03-R}]",60499,1200,1000
135,139,139_item.jpg,item_single_valid,item,46f30e23f70ca9b09d7975cae37aa6d9551b071df09258a19625c87c0b27224b,1,0,"[{kind: item, valid_andes: true, payload: ASI-W766P8|6, display: ASI-W766P8, qty: 6}]",57308,1200,1000
136,284,284_multi_false.jpg,multi_false_2,multi_false,2902c9195e6db730bb987a17a61059fa7a156f721e1eb4f193b2c5e9d2fdb7bb,0,2,"[{kind: false, valid_andes: false, payload: X0057, display: X-0057}, {kind: false, valid_andes: false, payload: BAD0058, display: BAD-0058}]",79480,1200,1000
137,37,037_position.jpg,position_single_valid,position,908cc03870a223831e7ce37caa891fe35b82be18594fefaddb09d8ff3823c7fb,1,0,"[{kind: position, valid_andes: true, payload: ASP-A02-B02-P01-L, display: ASP-A02-B02-P01-L}]",62406,1200,1000
138,140,140_item.jpg,item_single_valid,item,a7dbb552d1f780d3b9408826b17c8582e2fe6b26cf1f645451ad4654e83c1c88,1,0,"[{kind: item, valid_andes: true, payload: ASI-FUXFRV|10, display: ASI-FUXFRV, qty: 10}]",57925,1200,1000
139,224,224_multi_true.jpg,multi_true_2,multi_true,901321c5761222621661084b8af49aa0c10df3f80a70ab56c8ca4dfbd11038e3,2,0,"[{kind: position, valid_andes: true, payload: ASP-A04-B01-P02-R, display: ASP-A04-B01-P02-R}, {kind: item, valid_andes: true, payload: ASI-9HGRJ2|36, display: ASI-9HGRJ2, qty: 36}]",83795,1200,1000
140,141,141_item.jpg,item_single_valid,item,bbe2960347064adce56942730240859dbb3e153e3e234e61e2afde1aabe303c9,1,0,"[{kind: item, valid_andes: true, payload: ASI-NKBCR8|96, display: ASI-NKBCR8, qty: 96}]",57993,1200,1000
141,38,038_position.jpg,position_single_valid,position,4af0419833c20944f0c09a396929e4c8bf8169128111cc82bc80eabc1735ce32,1,0,"[{kind: position, valid_andes: true, payload: ASP-A02-B02-P01-R, display: ASP-A02-B02-P01-R}]",60696,1200,1000
142,142,142_item.jpg,item_single_valid,item,632a8663dc17670e699b0e0cdec905d94f3c62abce0ae0db319523d9eb3c4ab9,1,0,"[{kind: item, valid_andes: true, payload: ASI-E74N29|24, display: ASI-E74N29, qty: 24}]",57686,1200,1000
143,255,255_multi_mixed.jpg,multi_mixed_2,multi_mixed,cebffc4ed9055f1f98028a9df0288aec9aad9075ed753ed381590b331e335357,1,1,"[{kind: item, valid_andes: true, payload: ASI-LZVWFD|5, display: ASI-LZVWFD, qty: 5}, {kind: false, valid_andes: false, payload: POSX0015, display: POSX-0015}]",81278,1200,1000
144,39,039_position.jpg,position_single_valid,position,f2c89081734aba129bcaf04922552da2e28b57791be30f4efdfade7f6fd97dde,1,0,"[{kind: position, valid_andes: true, payload: ASP-A02-B02-P02-L, display: ASP-A02-B02-P02-L}]",60296,1200,1000
145,143,143_item.jpg,item_single_valid,item,475354e3482c32775394f160201c634078f010953ba3c08822938468bd2ed086,1,0,"[{kind: item, valid_andes: true, payload: ASI-RKAG5Q|6, display: ASI-RKAG5Q, qty: 6}]",59065,1200,1000
146,285,285_multi_false.jpg,multi_false_2,multi_false,5297e0ee235d66822aa4e46a038f963bef5c4ac25e8577edd6bd13c649c89464,0,2,"[{kind: false, valid_andes: false, payload: POSX0059, display: POSX-0059}, {kind: false, valid_andes: false, payload: FAKE0060, display: FAKE-0060}]",82621,1200,1000
147,144,144_item.jpg,item_single_valid,item,d114589e9587182e58adb9f3b4d4bccfcfed60bb3340914a51dbc0ede6986247,1,0,"[{kind: item, valid_andes: true, payload: ASI-7DRH7J|36, display: ASI-7DRH7J, qty: 36}]",57881,1200,1000
148,40,040_position.jpg,position_single_valid,position,bf71c4b445215549fd0ac6b5b599bba10192e3a11023692f3b517d1bb51d5f4b,1,0,"[{kind: position, valid_andes: true, payload: ASP-A02-B02-P02-R, display: ASP-A02-B02-P02-R}]",61058,1200,1000
149,145,145_item.jpg,item_single_valid,item,bff519c4d7d54991f8d83a314b8129b82d271773ea9bf705db2ac06c75426193,1,0,"[{kind: item, valid_andes: true, payload: ASI-W656L8|36, display: ASI-W656L8, qty: 36}]",57854,1200,1000
150,225,225_multi_true.jpg,multi_true_2,multi_true,65500ff16434007dff296a73b77bcf3d501fa459a841e530ea115e1804634273,2,0,"[{kind: position, valid_andes: true, payload: ASP-A04-B01-P03-L, display: ASP-A04-B01-P03-L}, {kind: item, valid_andes: true, payload: ASI-Z4K4G9|96, display: ASI-Z4K4G9, qty: 96}]",84409,1200,1000
151,146,146_item.jpg,item_single_valid,item,794c66585ca5db3eedff68bc43dd14f92275989e1ce3c8d51be6e8ebb4912e5c,1,0,"[{kind: item, valid_andes: true, payload: ASI-SRT9RT|36, display: ASI-SRT9RT, qty: 36}]",57027,1200,1000
152,256,256_multi_mixed.jpg,multi_mixed_3,multi_mixed,656b5eed91c11c255160baec84598ad86187e49f58b359d8a5e4f71e63f673f6,2,1,"[{kind: position, valid_andes: true, payload: ASP-A05-B03-P01-L, display: ASP-A05-B03-P01-L}, {kind: item, valid_andes: true, payload: ASI-LDFT65|40, display: ASI-LDFT65, qty: 40}, {kind: false, valid_andes: false, payload: FAKE0016, display: FAKE-0016}]",106583,1200,1000
153,41,041_position.jpg,position_single_valid,position,d176afffa5486a57f2603b2328b4c2fda33a4b0b0f23189def6edca4b974ed57,1,0,"[{kind: position, valid_andes: true, payload: ASP-A02-B02-P03-L, display: ASP-A02-B02-P03-L}]",62013,1200,1000
154,147,147_item.jpg,item_single_valid,item,e5b308802e45f3b07977104477ddfbca81e885e95b57b3c4c0a851896e715c9b,1,0,"[{kind: item, valid_andes: true, payload: ASI-EURTXW|60, display: ASI-EURTXW, qty: 60}]",57981,1200,1000
155,286,286_multi_false.jpg,multi_false_3,multi_false,f3a330a260e6212b53df91936f4f58165517b92022a43a23576384743a857390,0,3,"[{kind: false, valid_andes: false, payload: X0061, display: X-0061}, {kind: false, valid_andes: false, payload: BAD0062, display: BAD-0062}, {kind: false, valid_andes: false, payload: POSX0063, display: POSX-0063}]",106200,1200,1000
156,42,042_position.jpg,position_single_valid,position,6a6b50d9b4eb8e342fd08e7ea5b21604f08c0a174338ba93545f106f7ab6f376,1,0,"[{kind: position, valid_andes: true, payload: ASP-A02-B02-P03-R, display: ASP-A02-B02-P03-R}]",62569,1200,1000
157,148,148_item.jpg,item_single_valid,item,683b507ab7affa0410b3738ce236a77f136fd6592b5ca88cfc15c7e93cb35573,1,0,"[{kind: item, valid_andes: true, payload: ASI-FJKQ2K|8, display: ASI-FJKQ2K, qty: 8}]",57004,1200,1000
158,149,149_item.jpg,item_single_valid,item,3c97df7688ea3968cda4251676bd09da4bebe5b5d3f4221c872a4306236badcc,1,0,"[{kind: item, valid_andes: true, payload: ASI-E44X74|2, display: ASI-E44X74, qty: 2}]",57967,1200,1000
159,226,226_multi_true.jpg,multi_true_3,multi_true,456bfa598b562545acd60a171548508f7abf1a6082db46750a654ee0e7c6a8bd,3,0,"[{kind: position, valid_andes: true, payload: ASP-A04-B01-P03-R, display: ASP-A04-B01-P03-R}, {kind: item, valid_andes: true, payload: ASI-4TCZP6|36, display: ASI-4TCZP6, qty: 36}, {kind: position, valid_andes: true, payload: ASP-A04-B02-P01-L, display: ASP-A04-B02-P01-L}]",110744,1200,1000
160,43,043_position.jpg,position_single_valid,position,45d0629e164e3ab2f26f1fdca22bcc2c95f0fb2a5eff5c6c093ba7fe39fcad89,1,0,"[{kind: position, valid_andes: true, payload: ASP-A02-B03-P01-L, display: ASP-A02-B03-P01-L}]",60221,1200,1000
161,150,150_item.jpg,item_single_valid,item,ba4cafc5679b948ae41004df082fc22cdfc31be03e3d38418add713af1e8b32f,1,0,"[{kind: item, valid_andes: true, payload: ASI-P42B28|1, display: ASI-P42B28, qty: 1}]",56863,1200,1000
162,257,257_multi_mixed.jpg,multi_mixed_3,multi_mixed,605724fcbe3d4b2d355925346e7252f5485394502a1aea94c480cbf384a6987e,2,1,"[{kind: item, valid_andes: true, payload: ASI-64TPHY|30, display: ASI-64TPHY, qty: 30}, {kind: item, valid_andes: true, payload: ASI-HU9VCQ|24, display: ASI-HU9VCQ, qty: 24}, {kind: false, valid_andes: false, payload: X0017, display: X-0017}]",102675,1200,1000
163,151,151_item.jpg,item_single_valid,item,b34269a06e9183933da0bdea7840cf0835facc73e46246c6b6a53ef22f851564,1,0,"[{kind: item, valid_andes: true, payload: ASI-YV24Q9|10, display: ASI-YV24Q9, qty: 10}]",57482,1200,1000
164,44,044_position.jpg,position_single_valid,position,7e9deb7fcacd4229670bf2f861652f23f55ee3e42f3040ca5e9dd6e70cf1a10f,1,0,"[{kind: position, valid_andes: true, payload: ASP-A02-B03-P01-R, display: ASP-A02-B03-P01-R}]",61240,1200,1000
165,152,152_item.jpg,item_single_valid,item,e71dd0b96c054aa517e3ae66a957989af0e95e8f08350140ac135f2608312571,1,0,"[{kind: item, valid_andes: true, payload: ASI-T59B2X|24, display: ASI-T59B2X, qty: 24}]",57590,1200,1000
166,287,287_multi_false.jpg,multi_false_3,multi_false,5f6b3fb4171977203ba1b49cabf7921b6640d3be55b2b741f14e0c90d513a37a,0,3,"[{kind: false, valid_andes: false, payload: FAKE0064, display: FAKE-0064}, {kind: false, valid_andes: false, payload: X0065, display: X-0065}, {kind: false, valid_andes: false, payload: BAD0066, display: BAD-0066}]",103387,1200,1000
167,45,045_position.jpg,position_single_valid,position,a89fc3671190d16c8447c04944b3c64057717bfd1853b3ab976b8cdad0269c30,1,0,"[{kind: position, valid_andes: true, payload: ASP-A02-B03-P02-L, display: ASP-A02-B03-P02-L}]",60906,1200,1000
168,153,153_item.jpg,item_single_valid,item,022031073c803843f082e85aecb21ab8ef9e785ac78d2ae21083b8a658468b50,1,0,"[{kind: item, valid_andes: true, payload: ASI-L7JB3B|3, display: ASI-L7JB3B, qty: 3}]",56943,1200,1000
169,227,227_multi_true.jpg,multi_true_3,multi_true,eeb1bed6996d13537872a92c85ed167fcfa8319d70b1b9d29e3b3654061db3f6,3,0,"[{kind: position, valid_andes: true, payload: ASP-A04-B02-P01-R, display: ASP-A04-B02-P01-R}, {kind: item, valid_andes: true, payload: ASI-RZGZYD|24, display: ASI-RZGZYD, qty: 24}, {kind: position, valid_andes: true, payload: ASP-A04-B02-P02-L, display: ASP-A04-B02-P02-L}]",112183,1200,1000
170,154,154_item.jpg,item_single_valid,item,496f46ee9421dc7c3455734565a095ec00b2da4488b2704fb57d1aa8514c2660,1,0,"[{kind: item, valid_andes: true, payload: ASI-5J7MDS|24, display: ASI-5J7MDS, qty: 24}]",57784,1200,1000
171,46,046_position.jpg,position_single_valid,position,d58516390e48d6948e8abab3c4a9a9f5e070acc1ae832e225ab94b93f02ab3d4,1,0,"[{kind: position, valid_andes: true, payload: ASP-A02-B03-P02-R, display: ASP-A02-B03-P02-R}]",61296,1200,1000
172,155,155_item.jpg,item_single_valid,item,4102f83f6a3cd12b680a60df52dabef95d3d2b052138be2ae4fe406513eb0601,1,0,"[{kind: item, valid_andes: true, payload: ASI-WP7WX2|12, display: ASI-WP7WX2, qty: 12}]",58016,1200,1000
173,258,258_multi_mixed.jpg,multi_mixed_3,multi_mixed,b7bddb90f04e92da453b9fda1b074de7f6b8167352c3813b7d139ccc8b27f6b8,2,1,"[{kind: position, valid_andes: true, payload: ASP-A05-B03-P01-R, display: ASP-A05-B03-P01-R}, {kind: item, valid_andes: true, payload: ASI-DAPVPJ|12, display: ASI-DAPVPJ, qty: 12}, {kind: false, valid_andes: false, payload: BAD0018, display: BAD-0018}]",107491,1200,1000
174,47,047_position.jpg,position_single_valid,position,d5ab633748f7a9f0d3deb47e5b881c221d448276d2669eb8189e11cbadcd623e,1,0,"[{kind: position, valid_andes: true, payload: ASP-A02-B03-P03-L, display: ASP-A02-B03-P03-L}]",60430,1200,1000
175,156,156_item.jpg,item_single_valid,item,4323bcf52f5f4a95695b88ee7b66ed86a433a2c8cba2e0723819399bf7fff2c0,1,0,"[{kind: item, valid_andes: true, payload: ASI-4SF8BD|20, display: ASI-4SF8BD, qty: 20}]",57874,1200,1000
176,288,288_multi_false.jpg,multi_false_3,multi_false,63f05a46365f3f87fe162738dfb76a22671d0c2ca11b28c2ac03c437481c18de,0,3,"[{kind: false, valid_andes: false, payload: POSX0067, display: POSX-0067}, {kind: false, valid_andes: false, payload: FAKE0068, display: FAKE-0068}, {kind: false, valid_andes: false, payload: X0069, display: X-0069}]",105202,1200,1000
177,157,157_item.jpg,item_single_valid,item,b6cff6ee5bcedcc4286441117d81347f9ee2ca4fb00cb71e538afcfac8ae12f1,1,0,"[{kind: item, valid_andes: true, payload: ASI-QECBRN|1, display: ASI-QECBRN, qty: 1}]",57336,1200,1000
178,48,048_position.jpg,position_single_valid,position,0404242b108d466fc6e98407c70b42a66e2e8184e9bf81a1506b181c313dfc95,1,0,"[{kind: position, valid_andes: true, payload: ASP-A02-B03-P03-R, display: ASP-A02-B03-P03-R}]",61241,1200,1000
179,158,158_item.jpg,item_single_valid,item,55a772dbbb0c3b0c644924046bd08a07d6bbd8b94a82552614daaea2eeea97a5,1,0,"[{kind: item, valid_andes: true, payload: ASI-KRJ8HP|36, display: ASI-KRJ8HP, qty: 36}]",56919,1200,1000
180,228,228_multi_true.jpg,multi_true_3,multi_true,27df4352bb3a85b5e66b46c4c150970dd43535cbd8773fd42e827c47e88e93a9,3,0,"[{kind: position, valid_andes: true, payload: ASP-A04-B02-P02-R, display: ASP-A04-B02-P02-R}, {kind: item, valid_andes: true, payload: ASI-TNH7FP|96, display: ASI-TNH7FP, qty: 96}, {kind: position, valid_andes: true, payload: ASP-A04-B02-P03-L, display: ASP-A04-B02-P03-L}]",111436,1200,1000
181,159,159_item.jpg,item_single_valid,item,8bc06f18fc130e197362bd06cdb563a1de1dfe72b392bfcaa8470092dc4b0360,1,0,"[{kind: item, valid_andes: true, payload: ASI-SZLHLV|4, display: ASI-SZLHLV, qty: 4}]",56601,1200,1000
182,259,259_multi_mixed.jpg,multi_mixed_3,multi_mixed,4f7107c85d2ca70f54340af0782938e122ae093a385a96a6cd2e4c57541676c5,2,1,"[{kind: item, valid_andes: true, payload: ASI-UWHA95|6, display: ASI-UWHA95, qty: 6}, {kind: item, valid_andes: true, payload: ASI-J2QYE3|2, display: ASI-J2QYE3, qty: 2}, {kind: false, valid_andes: false, payload: POSX0019, display: POSX-0019}]",106456,1200,1000
183,49,049_position.jpg,position_single_valid,position,de275443611234332b2a0a37f4561aabba360c0a1c2e77ce1027e0564883a982,1,0,"[{kind: position, valid_andes: true, payload: ASP-A02-B04-P01-L, display: ASP-A02-B04-P01-L}]",61302,1200,1000
184,160,160_item.jpg,item_single_valid,item,579b8b1493c15c4ac4b5a97394e6daab765b4142d3167ff73d2b9fc8185b9789,1,0,"[{kind: item, valid_andes: true, payload: ASI-BV23NE|72, display: ASI-BV23NE, qty: 72}]",58214,1200,1000
185,289,289_multi_false.jpg,multi_false_3,multi_false,c2ae0380e429b32f61af60971e5719b79c218872f46dbc0ef95c58fb7f5902f2,0,3,"[{kind: false, valid_andes: false, payload: BAD0070, display: BAD-0070}, {kind: false, valid_andes: false, payload: POSX0071, display: POSX-0071}, {kind: false, valid_andes: false, payload: FAKE0072, display: FAKE-0072}]",105433,1200,1000
186,50,050_position.jpg,position_single_valid,position,7b306ddfaf0a24aca570957241a1df53b017b5d4f0eed84dbe686ef57060a11f,1,0,"[{kind: position, valid_andes: true, payload: ASP-A02-B04-P01-R, display: ASP-A02-B04-P01-R}]",62393,1200,1000
187,161,161_item.jpg,item_single_valid,item,87c79328f4d23fddbc8190a624a87427465bf6efa1dcc28326c0ce505458aad7,1,0,"[{kind: item, valid_andes: true, payload: ASI-RGVHCY|60, display: ASI-RGVHCY, qty: 60}]",58018,1200,1000
188,162,162_item.jpg,item_single_valid,item,a24240e9a40396c31b66c45f752898689490da6af8302177d66a36549a7379e0,1,0,"[{kind: item, valid_andes: true, payload: ASI-5ZEXA4|40, display: ASI-5ZEXA4, qty: 40}]",57955,1200,1000
189,229,229_multi_true.jpg,multi_true_3,multi_true,6ae08af09001c24b61baec217723a569e0a32d590a763a3c07442d25505410a3,3,0,"[{kind: position, valid_andes: true, payload: ASP-A04-B02-P03-R, display: ASP-A04-B02-P03-R}, {kind: item, valid_andes: true, payload: ASI-BDXRJP|3, display: ASI-BDXRJP, qty: 3}, {kind: position, valid_andes: true, payload: ASP-A04-B03-P01-L, display: ASP-A04-B03-P01-L}]",110217,1200,1000
190,51,051_position.jpg,position_single_valid,position,a8d440e272fa0f646c9ea87ea7171ae07e2cdc0dc001988e25d7725ed3ebf34a,1,0,"[{kind: position, valid_andes: true, payload: ASP-A02-B04-P02-L, display: ASP-A02-B04-P02-L}]",61095,1200,1000
191,163,163_item.jpg,item_single_valid,item,8d5298d1ffe72426da9928a07b357dae35a6e3fedfbf22c0ab554cc1be013c81,1,0,"[{kind: item, valid_andes: true, payload: ASI-G5Z7K5|6, display: ASI-G5Z7K5, qty: 6}]",56864,1200,1000
